id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
95a38626-cbcb-43af-a620-db7bc1daf467,m,25-34,ARG,3,4,4,2,4,4,2,3,4,4,4,
e4d9caa3-da27-4d6b-bd71-eea9250317bd,m,25-34,ARG,4,2,2,3,5,4,2,5,5,3,3,
47dd2077-a68c-4604-a076-19da3c318b2a,m,45-54,ARG,5,4,5,3,5,4,3,5,4,5,5,
83243c8c-dffc-4690-a252-2f3dd7cf437c,m,25-34,ARG,4,4,4,4,5,5,4,4,5,4,5,
2a814e56-7848-4999-b432-1643a725e65a,m,15-24,ARG,4,3,4,4,5,2,2,3,4,2,4,
88c5c0a0-6a2c-47e9-87fa-94bf0a4bad15,m,15-24,ARG,3,5,5,3,5,3,3,5,5,5,4,
4109cc77-ae0d-45e3-8b2a-b553e4a24bcc,m,25-34,ARG,4,3,4,3,5,3,3,4,3,2,3,
f8665c91-f420-4752-bbba-226073beeae2,m,25-34,ARG,3,3,4,1,3,2,2,4,4,1,4,
487c0d6d-2d17-44c2-9cad-e7910b5f5228,m,25-34,ARG,3,1,2,2,3,4,2,3,3,5,2,
f418f5a4-88a8-416d-a43f-b7024a199ad0,m,35-44,ARG,3,3,5,1,2,2,1,5,5,5,5,
979e275f-ff66-436c-9ac9-38d27a2a7967,f,15-24,ARG,4,4,3,2,5,4,4,4,5,2,4,
0e2ac726-c342-4647-a5cf-d288c3bdaf61,m,35-44,ARG,4,3,3,4,4,4,3,4,4,4,5,
ef121b23-e043-4ef3-83b7-2386d4173cdc,m,35-44,ARG,3,3,3,3,4,3,3,3,3,4,3,
ae64e619-6ab8-4332-9c8e-d03a6fd88e26,f,25-34,ARG,5,3,3,5,5,5,3,5,4,5,3,
b6a7e60f-0ef3-4b1f-a7c5-b1b5c30e671a,f,25-34,ARG,5,5,5,5,5,5,4,5,3,5,5,
ea89aa83-84e2-4450-881f-bf0fc82d7845,m,25-34,ARG,3,3,3,3,5,3,2,4,3,5,3,
d3eedcf8-7241-4ac1-b33a-665f43c25d53,m,25-34,ARG,3,3,5,3,5,5,3,5,3,5,3,
1fd3446b-16bc-4814-9b07-5ef64940b93a,m,25-34,ARG,4,3,4,3,4,3,3,4,3,4,3,
0f510b3e-9f8a-41cb-a545-86d0ea2b1a65,m,25-34,ARG,4,5,4,2,3,1,3,2,3,5,4,
7d49cff1-516a-4dd0-84d0-5c3dea702d5c,m,35-44,ARG,4,4,3,2,3,1,2,4,3,3,4,
0073fdb4-6595-4694-8030-f6756f210f48,m,35-44,ARG,4,4,4,3,4,3,3,4,3,4,3,
bbb1f1a4-4193-488d-b7f7-3eb21b33851c,m,15-24,ARG,5,5,3,1,2,5,2,5,5,5,3,
e9fe28c0-2848-4d15-9c44-743c6507ce9b,m,25-34,ARG,5,5,5,5,5,5,5,5,5,5,5,
9c1e5c11-83b3-4db7-83da-c120b2bc110d,f,35-44,ARG,3,3,4,4,5,4,3,5,3,5,5,
c54015cd-cd9c-430c-8b6b-3e62f54241ee,m,25-34,ARG,5,5,5,5,5,5,5,5,5,5,5,
d0a5979b-4037-41e6-ac9d-153e22cef39d,m,25-34,ARG,5,3,5,1,5,1,4,3,2,2,1,
8b61305b-fa98-41ff-a77b-13d0e5cbbd13,m,25-34,ARG,3,5,4,1,2,3,1,4,1,4,1,
98bf59dc-e99d-4d6c-9ee4-7ba568b16ccf,m,25-34,ARG,3,4,4,4,4,1,2,4,5,2,5,
fef14e59-c2a4-4bb5-aba3-74866043a9bf,m,35-44,ARG,4,3,3,4,5,5,3,5,4,3,5,
8539c4c5-15bd-4664-9c3d-cfb3a877a8de,m,15-24,ARG,4,5,3,3,4,3,3,3,3,5,3,
df9054c5-84c6-4797-bdb5-6f3a70ee1676,m,25-34,ARG,5,5,5,5,5,5,5,5,5,5,5,"
Tener oportunides."
71f7f076-d72e-4e8b-b5cd-0810986fb836,f,35-44,ARG,4,5,5,3,5,3,2,5,5,5,5,
8cba46f5-04e1-437b-be53-bc15a4f91d28,m,15-24,ARG,4,4,4,2,5,3,3,5,3,5,2,
990a9b7a-97ef-4222-908f-2b478d07baa0,f,25-34,ARG,2,4,4,3,3,2,4,4,4,3,3,
be344527-f019-4e89-bf19-0b456392f426,f,25-34,ARG,3,5,5,4,4,4,4,4,4,4,5,
3f6e50ea-4d01-42f7-8633-0c3715ce0e49,m,15-24,ARG,4,3,3,2,3,2,2,4,2,2,3,
9d5fbbbc-4698-491d-844a-80df2bfe9577,f,25-34,ARG,5,3,3,3,5,3,2,4,5,5,3,
da2ee939-e9ef-419c-8df6-9cba7f7263b7,m,25-34,ARG,4,5,1,4,4,3,1,5,5,3,1,
152daf3a-dc02-4e03-b195-8ea9f5f2f08b,m,15-24,ARG,3,5,5,3,5,5,4,5,5,5,5,
5c80d681-8e4b-4663-987e-3db7691b81dd,m,35-44,ARG,5,4,5,3,5,3,3,4,2,3,2,
7c9e75e9-72ef-4eed-b1d9-1aaa581a899b,m,15-24,IND,2,3,4,3,5,3,2,4,5,4,3,
10960fbd-0d12-4b02-a3ab-34ad5cf009a7,f,45-54,MEX,4,3,3,2,5,4,2,5,5,5,3,
bcdf5845-5c15-40bd-8fac-c2ab49ccffb0,m,15-24,RUS,3,4,3,1,2,2,1,5,4,3,1,
ad16ef88-9561-4e05-9784-4bcfb10c4baa,m,45-54,AUT,5,5,5,3,5,3,3,5,5,5,5,
061ae8bb-992f-4d1d-a5a7-841e720fc82c,f,15-24,SWE,1,1,1,3,1,4,1,0,2,1,1,
3ae703cb-178b-41b7-97e4-b52553be43d2,m,15-24,MEX,2,3,4,1,5,5,1,5,4,3,3,
7ed9dfd9-9491-4111-9ef0-930fc8c94b33,f,25-34,AUS,3,1,3,1,5,3,1,3,1,1,3,
984f6564-6143-42a6-a86d-5c8f34efbd8b,f,55-64,BRA,4,2,4,2,4,4,2,4,3,3,3,
0af1c42a-cf24-4d9e-a99b-378e0456ad14,f,25-34,ITA,4,3,5,2,5,5,2,5,3,3,4,
693a663a-2694-4e97-a152-3853ba1b0332,m,25-34,DEU,3,3,4,5,5,5,2,5,5,5,5,
e45109a3-83c8-407f-b323-866004ba8483,f,15-24,FRA,4,4,3,2,4,2,3,5,3,5,2,"To feel confortable, safe and released in my own country, trust the government and don't worry too much about the future."
6221b52c-be4c-411c-8993-3afed57e132f,f,15-24,POL,0,0,0,0,2,0,0,0,0,5,0,
830bfff8-4c9e-44a1-810f-15fa0f4a6a5d,f,15-24,IND,3,4,2,2,4,3,2,3,3,3,1,
94d2667f-a80f-49c4-aef1-de77eb80621b,m,35-44,VEN,0,0,0,0,3,0,0,0,0,0,0,
4fcc994c-6f4e-407b-a108-3875f8b15d21,m,25-34,NZL,5,3,3,3,3,5,3,4,3,5,5,
2f204c2c-fbfc-4b56-87f1-d777e2255291,f,55-64,AUS,4,4,3,4,3,4,3,4,4,5,3,
69d69458-cf55-4fc6-acca-bc62b183ffd6,m,45-54,AUS,3,3,4,4,4,5,3,5,5,4,4,
422f6057-dc61-49f7-89ef-fda7f1160559,f,15-24,MEX,3,4,4,4,4,5,3,5,5,4,5,
ffb53e85-6665-4326-ae24-6df69fef9c96,f,55-64,USA,5,2,2,3,2,5,5,4,5,2,5,A Civil Society and Clean Environment
1bd7c7b8-8cae-4ae5-a94c-20754eaffdc7,f,15-24,USA,5,5,4,1,3,5,1,4,5,2,4,
82d9bd8c-0ab3-4691-b161-fd45430a8473,m,15-24,USA,0,0,0,0,0,0,0,0,0,0,5,"Family, friends, education, opportunity, financial security."
ed1893c2-c4f8-430a-af16-dda129969fd6,f,25-34,MYS,5,4,3,3,4,5,3,5,5,5,4,
5aa45398-0a1d-4375-8901-aa0b2ecfd314,m,35-44,AUS,3,5,3,3,3,5,3,3,3,3,3,
77debeba-2952-49ad-a831-607c8b6fe819,m,15-24,DEU,0,0,0,0,0,0,5,0,0,0,0,Glück
3ea22a65-6d43-4723-9b27-f491b71e0905,m,15-24,SWE,2,2,3,3,5,5,1,5,3,1,3,
7119b1fb-17cf-449b-aacd-1783672abe69,f,<15,USA,3,1,1,1,3,2,3,5,1,4,1,
f2d731d3-528b-4d35-ae21-bb18e46d3465,f,15-24,DEU,4,2,4,3,4,4,3,4,5,4,2,
355cc393-3ffd-4179-88e9-851dfe5dd970,f,15-24,USA,4,4,5,2,5,4,3,4,3,3,2,
910f06a0-a5fe-4754-8c0b-deaaaaccd2b3,m,55-64,AUS,0,1,1,1,1,1,1,1,1,1,1,
4006e746-1e93-4ebe-af38-e10aa08d1f78,m,45-54,AUS,0,4,1,1,1,1,1,4,4,1,1,
4ae1d8e3-3913-4686-8f3d-0b293b7943a5,m,15-24,USA,3,3,3,2,3,3,2,3,4,2,3,
18d8d83c-b6b7-40e0-9278-e23b6ab3e16d,f,15-24,USA,5,5,5,2,4,2,1,4,5,4,4,
89c7657d-1822-4415-ae3c-436bc3e5ee92,f,15-24,USA,5,3,5,0,4,4,1,4,3,3,3,Happiness and family 
172b79ad-f3fa-4f40-9fa5-2d379c312b27,m,25-34,CHE,3,4,4,2,3,3,1,3,5,5,3,
3d773f1c-2ae9-41a2-a738-9ea043a2d779,f,15-24,DEU,4,2,4,3,4,5,4,5,5,5,3,
0dc12d95-8488-4f95-bb26-86fa9e0ba476,m,15-24,USA,5,5,5,5,5,5,5,5,5,5,5,
159734bc-d824-4e78-9b35-7c6624e23b5d,m,15-24,FRA,1,1,1,1,1,1,3,1,2,1,1,être autonome dans ses choix de vie
cb497580-ba4a-48d5-8fc5-10714a43ec78,f,15-24,FRA,2,1,4,5,5,5,2,2,3,1,2,Vivre dans un bel endroit en communauté en réalisant un emploi qui me convient et en respectant l'environnement. 
d0318f6c-9e26-4414-9784-11a6a16f46ff,f,25-34,ARG,5,4,4,4,4,4,3,5,5,5,5,
d4e2fe83-b5db-48f4-a5b2-e4a1edddb401,m,25-34,FIN,4,4,3,4,3,4,3,4,4,5,4,
f24270b1-7df9-4013-8b06-9899ed6fa150,f,15-24,POL,5,1,3,4,4,0,0,3,5,5,3,
2fe35c89-531f-4d65-bde9-38fe9f09c5ec,m,15-24,CYP,1,1,1,1,1,1,1,1,1,1,5,
82280b6c-44d7-4076-b08f-f0c660d79a3d,m,45-54,DEU,5,5,5,0,5,0,5,5,5,5,5,
45ece4e5-b48b-4469-8fee-971a7c75b10c,m,15-24,ITA,1,1,1,1,1,1,1,1,1,1,5,a good education system. a safe and friendly community. good health care. good housing and a lot of jobs. 
016c03d7-be49-4311-9c17-2d39826dce67,m,25-34,COL,0,0,0,0,0,0,0,0,0,0,0,"Ver feliz a mi familia, tener buenos ingresos y tener tiempo para compartir con los demás"
c1210bff-b49e-4ce0-b1c8-7944eeb868de,f,15-24,RUS,4,2,5,5,5,4,3,4,3,2,5,
